Date,Ticker,Mu_Simple_Period,Mu_Log_Period,Sigma_Log,Sigma_Period_Log,Lambda_RiskAversion
2021-01-04,BBCA.JK,0.19389842734583995,0.17555169506888843,0.017065109804804194,0.19155538247176207,0.35465772910377036
2021-01-04,TLKM.JK,0.12234681335077424,0.09041035873578843,0.022515058317302238,0.25273090279974,0.35465772910377036
2021-02-02,BBCA.JK,0.11947446462732833,0.09900079239061062,0.018027171835658103,0.2023545019845999,0.4224453482797058
2021-02-02,TLKM.JK,0.08966847264511887,0.05112067253997058,0.024736002970141755,0.27766094469747915,0.4224453482797058
2021-03-04,BBCA.JK,0.0828906349927736,0.06222059420296005,0.018113417279812114,0.20332260469418326,0.3976878471848339
2021-03-04,TLKM.JK,0.18266238253057904,0.14141188196855656,0.025588471040506364,0.2872298750548852,0.3976878471848339
2021-04-06,BBCA.JK,0.11270410573326614,0.09647008528573682,0.016052503363852534,0.18018890336271715,0.3287692555166933
2021-04-06,TLKM.JK,0.269000762145961,0.23041665888261634,0.02474764804067558,0.27779166029002633,0.3287692555166933
2021-05-05,BBCA.JK,0.13054035545539314,0.11369465369857011,0.016352128038213964,0.18355218199096968,0.3352966278117094
2021-05-05,TLKM.JK,0.22857430328049128,0.19340571912766621,0.02362692308552441,0.2652115538690765,0.3352966278117094
2021-06-10,BBCA.JK,0.05421239535596616,0.03964690908169019,0.01520520288683375,0.1706779790967539,0.4583546222349119
2021-06-10,TLKM.JK,0.05767201844531305,0.028902262492441815,0.021369669929662414,0.23987395003572703,0.4583546222349119
2021-07-09,BBCA.JK,-0.10138675497455901,-0.1148143830227426,0.01459921070283498,0.16387573370199507,0.36029456876272037
2021-07-09,TLKM.JK,-0.0775954528239889,-0.0995435835243442,0.018665021483774583,0.20951434652717846,0.36029456876272037
2021-08-10,BBCA.JK,-0.06644524375629837,-0.07912816231238187,0.014188592867401649,0.1592665599307243,0.41443902502098373
2021-08-10,TLKM.JK,0.062497374875001045,0.04342614037595661,0.01739879328922958,0.19530097029479623,0.41443902502098373
2021-09-10,BBCA.JK,0.0021126942620541037,-0.008782895416718223,0.013150888483939823,0.1476183571157214,0.4486176236547619
2021-09-10,TLKM.JK,0.07443076015667023,0.058491222893447874,0.015906241793323037,0.17854712130539857,0.4486176236547619
2021-10-11,BBCA.JK,0.19618152947723194,0.18309541732896834,0.014412358094546994,0.1617783183758789,0.2625692185826332
2021-10-11,TLKM.JK,0.18704752073851916,0.170698350420576,0.01610933393928352,0.180826824989785,0.2625692185826332
2021-11-10,BBCA.JK,0.19161583361161708,0.17928645271710714,0.013989440969639022,0.15703108542266359,0.2477466447944376
2021-11-10,TLKM.JK,0.2155614600614975,0.19875434825325614,0.016333387661834516,0.18334182178783642,0.2477466447944376
2021-12-09,BBCA.JK,0.13210131765967384,0.1190654478528218,0.014384664346543877,0.16146745682552896,0.3135568690536051
2021-12-09,TLKM.JK,0.18255230282256615,0.16287809925894642,0.017671698997387936,0.19836432927126668,0.3135568690536051
2022-01-10,BBCA.JK,0.2579054255105748,0.24512017041862894,0.014245720656218602,0.15990781776977536,0.18313106478879973
2022-01-10,TLKM.JK,0.29812356400221246,0.2798491832616356,0.017031427878035115,0.19117730378147318,0.18313106478879973
2022-02-09,BBCA.JK,0.2207262002458286,0.20906499303263276,0.01360509195829211,0.15271677847044726,0.19563525893245082
2022-02-09,TLKM.JK,0.28976237552693285,0.27215491017775384,0.016717762319494053,0.18765641661919796,0.19563525893245082
2022-03-14,BBCA.JK,0.2163236021548418,0.20338527706426715,0.014330744556125869,0.16086220867919643,0.18705390300621197
2022-03-14,TLKM.JK,0.34346602014233946,0.3238658554947385,0.017638416158065176,0.19799073032645223,0.18705390300621197
