Date,Ticker,Bias_h
2021-01-04,BBCA.JK,-0.09150877756883302
2021-01-04,TLKM.JK,-0.05332312053952126
2021-02-02,BBCA.JK,-0.05248010923627566
2021-02-02,TLKM.JK,-0.03375944762405547
2021-03-04,BBCA.JK,-0.034695579904306495
2021-03-04,TLKM.JK,-0.08048915430276748
2021-04-06,BBCA.JK,-0.051845429143045685
2021-04-06,TLKM.JK,-0.12631974730534745
2021-05-05,BBCA.JK,-0.06080989071995546
2021-05-05,TLKM.JK,-0.10675506429291959
2021-06-10,BBCA.JK,-0.022256888803795505
2021-06-10,TLKM.JK,-0.020731404017141575
2021-07-09,BBCA.JK,0.05389876848138986
2021-07-09,TLKM.JK,0.04353806282045802
2021-08-10,BBCA.JK,0.036568385841837525
2021-08-10,TLKM.JK,-0.026579139758348802
2021-09-10,BBCA.JK,0.0021686843729975536
2021-09-10,TLKM.JK,-0.03285894668472311
2021-10-11,BBCA.JK,-0.09572455913209454
2021-10-11,TLKM.JK,-0.09072916544583665
2021-11-10,BBCA.JK,-0.0936620051615269
2021-11-10,TLKM.JK,-0.10508014698138224
2021-12-09,BBCA.JK,-0.06317453046464472
2021-12-09,TLKM.JK,-0.08735927547183842
2022-01-10,BBCA.JK,-0.1273492983837481
2022-01-10,TLKM.JK,-0.1469557529171701
2022-02-09,BBCA.JK,-0.10879206183413492
2022-02-09,TLKM.JK,-0.1427285005996306
2022-03-14,BBCA.JK,-0.10669939617174995
2022-03-14,TLKM.JK,-0.1696475436203273
2022-04-12,BBCA.JK,-0.04426412387044909
2022-04-12,TLKM.JK,-0.10019662123362272
2022-05-23,BBCA.JK,0.004284447604670394
2022-05-23,TLKM.JK,-0.06558998321715803
2022-06-23,BBCA.JK,-0.02076855750757689
2022-06-23,TLKM.JK,-0.00899914732677054
2022-07-22,BBCA.JK,0.00232445257573044
2022-07-22,TLKM.JK,-0.0407158906002274
2022-08-23,BBCA.JK,-0.01425346256803639
2022-08-23,TLKM.JK,-0.06374773238143572
2022-09-21,BBCA.JK,-0.03921014697052572
2022-09-21,TLKM.JK,-0.009496977978981747
2022-10-20,BBCA.JK,-0.03283370235422556
2022-10-20,TLKM.JK,0.028273443832886436
2022-11-18,BBCA.JK,-0.08779298291121584
2022-11-18,TLKM.JK,-0.012866161757388195
2022-12-19,BBCA.JK,-0.07248576942871177
2022-12-19,TLKM.JK,0.0572087654217297
2023-01-17,BBCA.JK,-0.05843477177439338
2023-01-17,TLKM.JK,0.04302598418996162
2023-02-16,BBCA.JK,-0.06433070281712183
2023-02-16,TLKM.JK,0.09918053788750658
2023-03-17,BBCA.JK,0.0061880129283449214
2023-03-17,TLKM.JK,0.04182224878888352
2023-04-27,BBCA.JK,-0.054488832061259984
2023-04-27,TLKM.JK,-0.009367403869123603
2023-05-30,BBCA.JK,-0.032557602758614745
2023-05-30,TLKM.JK,-0.026840622041042206
2023-07-05,BBCA.JK,-0.03517039970346847
2023-07-05,TLKM.JK,-0.056639130003214966
2023-08-04,BBCA.JK,-0.0651169850439346
2023-08-04,TLKM.JK,0.006694433953165824
2023-09-05,BBCA.JK,-0.041071924505078794
2023-09-05,TLKM.JK,-0.017935657723862075
2023-10-05,BBCA.JK,-0.058878960392311885
2023-10-05,TLKM.JK,0.011449742763019799
2023-11-03,BBCA.JK,0.014968601964327366
2023-11-03,TLKM.JK,0.06523707359629505
2023-12-04,BBCA.JK,0.015100567892741168
2023-12-04,TLKM.JK,0.0135205235006568
