Date,Depth,Energy,Iterations
2022-04-12,6,-1.1946337473258235,200
2022-05-23,1,-1.2874768557952179,2000
2022-05-23,2,-1.2697605260291769,2000
2022-05-23,3,-1.303592977477519,2000
2022-05-23,4,-1.2419004685860742,2000
2022-05-23,5,-1.306732326307445,2000
2022-05-23,6,-1.243640826132779,2000
2022-06-23,1,-1.2387002576721582,125
2022-06-23,2,-1.262226649444819,100
2022-06-23,3,-1.2535531867808078,500
2022-06-23,4,-1.2603953104290695,175
2022-06-23,5,-1.256309596027748,500
2022-06-23,6,-1.2598726186486011,400
2022-07-22,1,-1.2271355674995181,2000
2022-07-22,2,-1.2866708469756232,2000
2022-07-22,3,-1.2159088461591663,2000
2022-07-22,4,-1.2140882056125137,2000
2022-07-22,5,-1.2584833018684087,2000
2022-07-22,6,-1.2362063096052989,2000
2022-08-23,1,-1.2349882438014894,2000
2022-08-23,2,-1.2904898645829945,2000
2022-08-23,3,-1.2149215083470937,2000
2022-08-23,4,-1.2030220141461712,300
2022-08-23,5,-1.2839327893608,2000
2022-08-23,6,-1.2115530347533703,2000
2022-09-21,1,-1.2209916033934283,125
2022-09-21,2,-1.2803973874092602,100
2022-09-21,3,-1.2717933961207684,2000
2022-09-21,4,-1.2782523286643745,425
2022-09-21,5,-1.2553394686306274,2000
2022-09-21,6,-1.2799854328536042,275
2022-10-20,1,-1.1895482193065834,125
2022-10-20,2,-1.3117398758297236,100
2022-10-20,3,-1.3075186273113701,2000
2022-10-20,4,-1.3075842862880003,1925
2022-10-20,5,-1.308312204323365,1700
2022-10-20,6,-1.3010708221527192,2000
2022-11-18,1,-1.1754559635434065,125
2022-11-18,2,-1.325284588221156,100
2022-11-18,3,-1.3223894731356065,2000
2022-11-18,4,-1.321207365558047,2000
2022-11-18,5,-1.3194315214912442,2000
2022-11-18,6,-1.3127189794517549,2000
2022-12-19,1,-1.1206762548931566,125
2022-12-19,2,-1.3800450085637297,100
2022-12-19,3,-1.3786175640017542,1225
2022-12-19,4,-1.3791388094396209,1475
2022-12-19,5,-1.1365094862773295,2000
2022-12-19,6,-1.379987993165544,175
2023-01-17,1,-1.1489273138521476,125
2023-01-17,2,-1.3518269745700404,100
2023-01-17,3,-1.350014038291557,1625
2023-01-17,4,-1.260246435205397,2000
2023-01-17,5,-1.3516457011039205,250
2023-01-17,6,-1.3395817821236733,2000
2023-02-16,1,-1.086812718581576,125
2023-02-16,2,-1.4138164155785655,100
2023-02-16,3,-1.4130763996299542,1050
2023-02-16,4,-1.2845560140922607,2000
2023-02-16,5,-1.412598449618705,750
2023-02-16,6,-1.4120558354705919,2000
2023-03-17,1,-1.2148079673836045,125
2023-03-17,2,-1.2860583085087889,100
2023-03-17,3,-1.2786182749694808,2000
2023-03-17,4,-1.2823282179844202,600
2023-03-17,5,-1.2644248487274157,2000
2023-03-17,6,-1.2858589931168813,150
2023-04-27,1,-1.2052401005204303,125
2023-04-27,2,-1.2954592418694302,100
2023-04-27,3,-1.288878745602381,2000
2023-04-27,4,-1.2921453563183758,1450
2023-04-27,5,-1.2934122554941956,1050
2023-04-27,6,-1.2763457286336646,2000
2023-05-30,1,-1.2446170046841594,125
2023-05-30,2,-1.2560425425630286,100
2023-05-30,3,-1.2510099750873047,225
2023-05-30,4,-1.2555992462719507,175
2023-05-30,5,-1.2507578589117492,325
2023-05-30,6,-1.2560424756324822,225
2023-07-05,1,-1.2291293366371732,100
2023-07-05,2,-1.263468833074089,1900
2023-07-05,3,-1.238435581102798,2000
2023-07-05,4,-1.2583851799380423,2000
2023-07-05,5,-1.2291117712801138,150
2023-07-05,6,-1.243561744258089,2000
2023-08-04,1,-1.1783666701923068,125
2023-08-04,2,-1.321965334170117,100
2023-08-04,3,-1.3188132332449385,2000
2023-08-04,4,-1.3177864915380029,2000
2023-08-04,5,-1.316782341370294,2000
2023-08-04,6,-1.3069717538269745,2000
2023-09-05,1,-1.227005161481498,125
2023-09-05,2,-1.273259088315948,100
2023-09-05,3,-1.2643150836458725,2000
2023-09-05,4,-1.2722460828154956,400
2023-09-05,5,-1.2697996871609134,450
2023-09-05,6,-1.2716094012809298,200
2023-10-05,1,-1.179810591085328,125
2023-10-05,2,-1.3204440837755658,100
2023-10-05,3,-1.3171614375512855,2000
2023-10-05,4,-1.3162570492904349,2000
2023-10-05,5,-1.3154481325875813,2000
2023-10-05,6,-1.304729219202993,2000
2023-11-03,1,-1.199796280128687,125
2023-11-03,2,-1.3003141854467393,100
2023-11-03,3,-1.2950372092857538,2000
2023-11-03,4,-1.2961031342960865,1500
2023-11-03,5,-1.2512211581129107,2000
2023-11-03,6,-1.2958783125556295,1425
2023-12-04,1,-1.2485139001004124,100
2023-12-04,2,-1.2505653270452477,175
2023-12-04,3,-1.2485045513071453,250
2023-12-04,4,-1.250292813107877,200
2023-12-04,5,-1.248882218516337,150
2023-12-04,6,-1.2486761943409441,200
