Depth,Theta_Index,Theta_Value
1,0,3.1718891249272163
1,1,0.03378977404371686
1,2,0.16060712865267737
1,3,-0.04293874249358945
1,4,0.0038620312973966227
1,5,0.10170510589697937
1,6,-0.03017449514300224
1,7,0.11556119089683634
2,0,3.1096327841433573
2,1,-0.9289671302025447
2,2,1.3233003678122937
2,3,-0.043037466705712936
2,4,1.1413276291981278
2,5,0.005461416548311387
2,6,0.6584309966403364
2,7,-0.05158793178620017
2,8,-0.8465626019488725
2,9,-0.17244381810145007
2,10,-0.8371744102077953
2,11,0.28571895163561917
3,0,2.9257094516223945
3,1,-0.6512844173741985
3,2,0.7961649815177518
3,3,-0.29741327006457324
3,4,1.5677143724330838
3,5,-0.02907592447458655
3,6,1.1034714928415337
3,7,-0.15529159668086756
3,8,-0.8491256151829747
3,9,-0.2112210099291766
3,10,-1.023554472784212
3,11,-0.030266798334100467
3,12,-0.3544670830537712
3,13,0.47497184702406076
3,14,-0.19965088621752766
3,15,-0.11290961834330031
4,0,2.846246102276374
4,1,-0.4902244259874174
4,2,1.179141150745335
4,3,-0.27555129068185963
4,4,1.0635904128483158
4,5,-0.291005819846078
4,6,1.1947105498485462
4,7,-0.028568307489990348
4,8,-1.4793198051863132
4,9,0.12168154629883943
4,10,-1.457783044034947
4,11,0.2608189463386323
4,12,0.044298751901900954
4,13,0.09741046914283566
4,14,-0.8119789534084496
4,15,-0.23140044823554673
4,16,1.0242791524318806
4,17,0.04675806230945206
4,18,-1.040231388269923
4,19,-0.3030623842436101
5,0,3.103096826257619
5,1,-0.09301221676004368
5,2,0.7127130884024059
5,3,-0.22326710729177304
5,4,0.7880241447077793
5,5,-0.19152067569053408
5,6,1.0000682441269788
5,7,-0.3826121532996935
5,8,-1.4573235429745361
5,9,0.30906575951591825
5,10,-1.110119195362509
5,11,0.09523963465578084
5,12,0.37916126267605815
5,13,-0.06889647296727022
5,14,-1.1027702943448372
5,15,-0.3791354423088063
5,16,1.281498264034049
5,17,0.06626919406005999
5,18,-0.7909340963844075
5,19,-0.32386520272355196
5,20,0.0208997880439094
5,21,-0.20722734048023497
5,22,0.23819547311482905
5,23,-0.07172143854399249
6,0,3.548388403968726
6,1,-0.141948237985969
6,2,0.13170793255644458
6,3,-0.5688223080974335
6,4,0.6011744002436004
6,5,-0.5972507294176612
6,6,0.9248432065841311
6,7,-0.3170388503498623
6,8,-0.7341701771614136
6,9,0.5243000152565725
6,10,-0.5488149859542495
6,11,-0.18404658415536346
6,12,-0.14400819408958462
6,13,-0.17362967161491044
6,14,-1.0959128826912938
6,15,-0.4392474502685056
6,16,1.0874511381927723
6,17,0.1689573131859214
6,18,-0.6037149516232002
6,19,-0.2644901816759558
6,20,0.27134802116767903
6,21,0.03048877036050883
6,22,0.11139805653154491
6,23,0.20871802535483497
6,24,-0.253089834862716
6,25,-0.18935177915466128
6,26,0.02073505170807191
6,27,0.2838312696532375
