Date,Ticker,Bias_h
2021-01-04,BBCA.JK,0.16636894283973414
2021-01-04,TLKM.JK,0.07716134060960433
2021-02-02,BBCA.JK,0.08568599010037259
2021-02-02,TLKM.JK,0.03070772368675634
2021-03-04,BBCA.JK,0.05023219361030318
2021-03-04,TLKM.JK,0.12183881110447681
2021-04-06,BBCA.JK,0.08917834805706626
2021-04-06,TLKM.JK,0.21686258328440022
2021-05-05,BBCA.JK,0.1063773459221311
2021-05-05,TLKM.JK,0.1808711406655985
2021-06-10,BBCA.JK,0.030381869866928923
2021-06-10,TLKM.JK,0.013385033220901565
2021-07-09,BBCA.JK,-0.12026209423181644
2021-07-09,TLKM.JK,-0.10764999825421473
2021-08-10,BBCA.JK,-0.08521998408510623
2021-08-10,TLKM.JK,0.034834210775429586
2021-09-10,BBCA.JK,-0.014870972115507808
2021-09-10,TLKM.JK,0.05024222446565352
2021-10-11,BBCA.JK,0.17959047969310404
2021-10-11,TLKM.JK,0.1666229547013529
2021-11-10,BBCA.JK,0.1762101270959695
2021-11-10,TLKM.JK,0.19489614619956042
2021-12-09,BBCA.JK,0.11449724541233275
2021-12-09,TLKM.JK,0.1566017123940764
2022-01-10,BBCA.JK,0.24302319364745717
2022-01-10,TLKM.JK,0.2770816634249895
2022-02-09,BBCA.JK,0.20700198167627404
2022-02-09,TLKM.JK,0.26924884472408284
2022-03-14,BBCA.JK,0.20151802104475935
2022-03-14,TLKM.JK,0.32098951924150265
2022-04-12,BBCA.JK,0.07917523916697178
2022-04-12,TLKM.JK,0.18282815480419767
2022-05-23,BBCA.JK,-0.021393435857278043
2022-05-23,TLKM.JK,0.11119069088673239
2022-06-23,BBCA.JK,0.027192274431692365
2022-06-23,TLKM.JK,0.0026601317098711164
2022-07-22,BBCA.JK,-0.020115757755498898
2022-07-22,TLKM.JK,0.06646224564617187
2022-08-23,BBCA.JK,0.01450350740721662
2022-08-23,TLKM.JK,0.11216885167367874
2022-09-21,BBCA.JK,0.06412394672334543
2022-09-21,TLKM.JK,0.005441821151395132
2022-10-20,BBCA.JK,0.051516960429133896
2022-10-20,TLKM.JK,-0.06973545912675361
2022-11-18,BBCA.JK,0.1645712487433464
2022-11-18,TLKM.JK,0.013634381912975169
2022-12-19,BBCA.JK,0.13454172397492403
2022-12-19,TLKM.JK,-0.1285767602662049
2023-01-17,BBCA.JK,0.10712166974873583
2023-01-17,TLKM.JK,-0.10085927759486868
2023-02-16,BBCA.JK,0.11793680206363355
2023-02-16,TLKM.JK,-0.21227539327194478
2023-03-17,BBCA.JK,-0.023083736535415955
2023-03-17,TLKM.JK,-0.09775781074082701
2023-04-27,BBCA.JK,0.09793919960363251
2023-04-27,TLKM.JK,0.0045107033977429545
2023-05-30,BBCA.JK,0.055048233654499956
2023-05-30,TLKM.JK,0.03985421962772806
2023-07-05,BBCA.JK,0.06224284641833977
2023-07-05,TLKM.JK,0.10324170342091277
2023-08-04,BBCA.JK,0.12316821009171663
2023-08-04,TLKM.JK,-0.022676035249272086
2023-09-05,BBCA.JK,0.07638534655392393
2023-09-05,TLKM.JK,0.02702878330566838
2023-10-05,BBCA.JK,0.11248202970754972
2023-10-05,TLKM.JK,-0.03114042838677422
2023-11-03,BBCA.JK,-0.0354558548445727
2023-11-03,TLKM.JK,-0.1395282247103804
2023-12-04,BBCA.JK,-0.035941534254050556
2023-12-04,TLKM.JK,-0.03616501151903595
