Date,Ticker_i,Ticker_j,Interaction_J
2021-01-04,BBCA.JK,TLKM.JK,1.251093513785257
2021-02-02,BBCA.JK,TLKM.JK,1.2514663095796577
2021-03-04,BBCA.JK,TLKM.JK,1.2513198131919272
2021-04-06,BBCA.JK,TLKM.JK,1.2509190001201982
2021-05-05,BBCA.JK,TLKM.JK,1.2508180683732197
2021-06-10,BBCA.JK,TLKM.JK,1.2507556171367844
2021-07-09,BBCA.JK,TLKM.JK,1.2503932205158248
2021-08-10,BBCA.JK,TLKM.JK,1.2503588094188114
2021-09-10,BBCA.JK,TLKM.JK,1.2503905302502412
2021-10-11,BBCA.JK,TLKM.JK,1.2503241029329641
2021-11-10,BBCA.JK,TLKM.JK,1.2503093167989796
2021-12-09,BBCA.JK,TLKM.JK,1.2504161939426557
2022-01-10,BBCA.JK,TLKM.JK,1.2502163634125645
2022-02-09,BBCA.JK,TLKM.JK,1.2502151835023394
2022-03-14,BBCA.JK,TLKM.JK,1.2501261609885137
2022-04-12,BBCA.JK,TLKM.JK,1.2501061199700056
2022-05-23,BBCA.JK,TLKM.JK,1.250417527745731
2022-06-23,BBCA.JK,TLKM.JK,1.2504707194441556
2022-07-22,BBCA.JK,TLKM.JK,1.2504928570270724
2022-08-23,BBCA.JK,TLKM.JK,1.250480993468481
2022-09-21,BBCA.JK,TLKM.JK,1.2507058805834803
2022-10-20,BBCA.JK,TLKM.JK,1.2506561573815937
2022-11-18,BBCA.JK,TLKM.JK,1.2503838589140976
2022-12-19,BBCA.JK,TLKM.JK,1.250371560302697
2023-01-17,BBCA.JK,TLKM.JK,1.2503888453081944
2023-02-16,BBCA.JK,TLKM.JK,1.2503247647520639
2023-03-17,BBCA.JK,TLKM.JK,1.2504429376933657
2023-04-27,BBCA.JK,TLKM.JK,1.2503626402890187
2023-05-30,BBCA.JK,TLKM.JK,1.2503354469057477
2023-07-05,BBCA.JK,TLKM.JK,1.2502070251297654
2023-08-04,BBCA.JK,TLKM.JK,1.2501790119101515
2023-09-05,BBCA.JK,TLKM.JK,1.250142684167072
2023-10-05,BBCA.JK,TLKM.JK,1.2501401820057607
2023-11-03,BBCA.JK,TLKM.JK,1.250065499535358
2023-12-04,BBCA.JK,TLKM.JK,1.2500750702244194
