Depth,Theta_Index,Theta_Value
1,0,3.156145259623508
1,1,0.017986252298667897
1,2,0.11301375535627214
1,3,-0.007616757256869281
1,4,0.0010717903467596427
1,5,0.13139118400264196
1,6,-0.014859842241072415
1,7,0.11236745376840857
2,0,3.0554108786553935
2,1,-0.19685343478234463
2,2,1.6239674276050213
2,3,0.3843730266171223
2,4,0.8008368959712453
2,5,0.02613218099057361
2,6,-0.05785473607391536
2,7,0.40678429221033335
2,8,-1.489679833816231
2,9,-0.2212791482508753
2,10,0.019167371439161158
2,11,0.43911861603843955
3,0,3.003821997118207
3,1,-0.20367277260165895
3,2,1.4106646935976415
3,3,0.23916758017004136
3,4,1.8028609369788435
3,5,0.1170116593700414
3,6,0.7098785243423524
3,7,0.06630785554400587
3,8,-1.5536863589318985
3,9,-0.10231387452900045
3,10,0.1905983309268951
3,11,-0.006258054690603902
3,12,-0.6725856155780755
3,13,0.026439689829701046
3,14,0.19171621287916707
3,15,-0.3100006072635043
4,0,3.5386708348078124
4,1,-0.23643379629682995
4,2,0.9900738209945815
4,3,0.1365470096778373
4,4,1.2851219458958922
4,5,0.31065880549563374
4,6,0.26458819805255196
4,7,0.49457784162346363
4,8,-0.9972393233679955
4,9,-0.3200316679476195
4,10,0.8097559394912408
4,11,-0.0890411818226627
4,12,-0.3954534745747499
4,13,-0.09870559008835099
4,14,0.34493161174412634
4,15,-0.3203745552972226
4,16,-0.7199649975498521
4,17,-0.14117917905179198
4,18,-0.4389912799175014
4,19,-0.10318140385902881
5,0,3.3039903524957066
5,1,-0.07778285066062053
5,2,1.5435232787942004
5,3,-0.021500407961776567
5,4,1.2599497343606325
5,5,0.3384281551254443
5,6,0.006597413779388557
5,7,0.3840875258189647
5,8,-1.4459775287707537
5,9,-0.1487309917895847
5,10,0.6324998039531247
5,11,-0.3227994587410747
5,12,-0.22948395690445533
5,13,-0.024895719032417336
5,14,0.8048766605572373
5,15,-0.10514665031257615
5,16,-0.7149465455059365
5,17,-0.12053379029007018
5,18,-0.33307019377368036
5,19,0.030859956578822994
5,20,-0.3323907739202087
5,21,0.2065162250804975
5,22,-0.376220929703218
5,23,0.0004829556368867025
6,0,3.2220019396142967
6,1,-0.10839448376679868
6,2,1.7061863170214446
6,3,-0.18218999066069813
6,4,1.7377060597469234
6,5,-0.023008538829492043
6,6,0.7493169184178795
6,7,0.1615627106975992
6,8,-1.8349777485892627
6,9,-0.09267129435987648
6,10,0.4661742359160252
6,11,-0.45364903781578275
6,12,-0.6345339244692473
6,13,0.11655639964785335
6,14,0.626420532850006
6,15,-0.4630866958002875
6,16,-0.3240327544269584
6,17,-0.09282411128840283
6,18,-0.10280925948656829
6,19,0.07522039048079317
6,20,-0.47630377624357745
6,21,0.19643530642684104
6,22,-0.3287902993351366
6,23,0.26541928462824604
6,24,-0.4324212462592801
6,25,-0.14607109275135344
6,26,-0.025064538186837366
6,27,-0.257569093079337
