Date,Ticker,Mu_Simple_Period,Mu_Log_Period,Sigma_Log,Sigma_Period_Log,Lambda_RiskAversion
2021-01-04,BBCA.JK,0.19389844029991357,0.17555171211660645,0.017065107900963928,0.1915553611012081,0.3546577693109818
2021-01-04,TLKM.JK,0.12234656957571681,0.09041015529911178,0.022515044098108318,0.2527307431896841,0.3546577693109818
2021-02-02,BBCA.JK,0.11947442199490986,0.09900079313828475,0.018027152737452645,0.20235428760777532,0.42244534488975466
2021-02-02,TLKM.JK,0.08966833836244956,0.05112057266347069,0.024735991930973544,0.2776608207831233,0.42244534488975466
2021-03-04,BBCA.JK,0.0828902478665466,0.062220256663436384,0.018113395553072505,0.203322360812136,0.3976879383424185
2021-03-04,TLKM.JK,0.18266232239348457,0.14141186671595102,0.025588457119150962,0.28722971878805836,0.3976879383424185
2021-04-06,BBCA.JK,0.1127042598985338,0.0964702655177958,0.016052490476181718,0.18018875869897102,0.32876896401431865
2021-04-06,TLKM.JK,0.2690009326092011,0.23041687165242775,0.02474763447306178,0.27779150799393915,0.32876896401431865
2021-05-05,BBCA.JK,0.13054020503686944,0.11369454287263024,0.016352108821935833,0.18355196628878262,0.33529659098977543
2021-05-05,TLKM.JK,0.22857434226690726,0.19340575765924284,0.02362692323830928,0.26521155558408244,0.33529659098977543
2021-06-10,BBCA.JK,0.054212535590021003,0.03964708903833394,0.015205182153216484,0.1706777463624773,0.4583545559072406
2021-06-10,TLKM.JK,0.05767194811784728,0.02890216928631807,0.021369678426593586,0.2398740454135429,0.4583545559072406
2021-07-09,BBCA.JK,-0.10138686142787827,-0.11481446792057727,0.014599198984712219,0.1638756021663933,0.3602944681708304
2021-07-09,TLKM.JK,-0.07759544795784618,-0.09954357439509688,0.01866501967107026,0.20951432617962287,0.3602944681708304
2021-08-10,BBCA.JK,-0.06644521768269251,-0.07912814822078555,0.014188599569637183,0.15926663516313158,0.41443917806083763
2021-08-10,TLKM.JK,0.062497178188549316,0.04342594844877272,0.017398791118276184,0.1953009459259048,0.41443917806083763
2021-09-10,BBCA.JK,0.0021129759896710318,-0.008782634043315137,0.013150900767619702,0.14761849499968607,0.4486179304625634
2021-09-10,TLKM.JK,0.07443068161375645,0.058491127555293704,0.015906250173399566,0.17854721537152432,0.4486179304625634
2021-10-11,BBCA.JK,0.19618147203680525,0.183095322478242,0.014412378695403958,0.1617785496199248,0.26256951272577905
