Date,C_const,AK^2,C_Ising
2021-01-04,5.0,5.0,2.3529811762020882
2021-02-02,5.0,5.0,2.410827895670094
2021-03-04,5.0,5.0,2.382175848684441
2021-04-06,5.0,5.0,2.319996641617826
2021-05-05,5.0,5.0,2.330798962907311
2021-06-10,5.0,5.0,2.455500441412467
2021-07-09,5.0,5.0,2.596650436165587
2021-08-10,5.0,5.0,2.5092717226274805
2021-09-10,5.0,5.0,2.4685285995879336
2021-10-11,5.0,5.0,2.3128981599263994
2021-11-10,5.0,5.0,2.300639118594991
2021-12-09,5.0,5.0,2.3486338023509576
2022-01-10,5.0,5.0,2.225262356482598
2022-02-09,5.0,5.0,2.2480490686254617
2022-03-14,5.0,5.0,2.2234007736493786
2022-04-12,5.0,5.0,2.3553269835378954
2022-05-23,5.0,5.0,2.437859490157258
2022-06-23,5.0,5.0,2.4692909061573425
2022-07-22,5.0,5.0,2.4606228954442297
2022-08-23,5.0,5.0,2.4210367182420716
2022-09-21,5.0,5.0,2.449881183538685
2022-10-20,5.0,5.0,2.4941273597866003
2022-11-18,5.0,5.0,2.3985731745948775
2022-12-19,5.0,5.0,2.483979903372341
2023-01-17,5.0,5.0,2.483813474358174
2023-02-16,5.0,5.0,2.534200264089903
2023-03-17,5.0,5.0,2.5471243139226862
2023-04-27,5.0,5.0,2.4354184133396712
2023-05-30,5.0,5.0,2.43993087217048
2023-07-05,5.0,5.0,2.4077764845080596
2023-08-04,5.0,5.0,2.4412194207737614
2023-09-05,5.0,5.0,2.440707048464628
2023-10-05,5.0,5.0,2.4522903572096055
2023-11-03,5.0,5.0,2.580074705060951
2023-12-04,5.0,5.0,2.5284709511637358
