Date,Ticker,Bias_h
2021-01-04,BBCA.JK,-0.09150873828114747
2021-01-04,TLKM.JK,-0.05332309698554827
2021-02-02,BBCA.JK,-0.05248005566448688
2021-02-02,TLKM.JK,-0.03375943108376456
2021-03-04,BBCA.JK,-0.03469553256348634
2021-03-04,TLKM.JK,-0.08048913253745837
2021-04-06,BBCA.JK,-0.0518455170411829
2021-04-06,TLKM.JK,-0.12631978284033618
2021-05-05,BBCA.JK,-0.06080992863861434
2021-05-05,TLKM.JK,-0.10675507967808784
2021-06-10,BBCA.JK,-0.022257015974604055
2021-06-10,TLKM.JK,-0.020731356944732937
2021-07-09,BBCA.JK,0.05389877418405131
2021-07-09,TLKM.JK,0.04353801200863572
2021-08-10,BBCA.JK,0.036568390467622613
2021-08-10,TLKM.JK,-0.026579084935117958
2021-09-10,BBCA.JK,0.002168692273918804
2021-09-10,TLKM.JK,-0.032858897353375216
2021-10-11,BBCA.JK,-0.09572452576223345
2021-10-11,TLKM.JK,-0.09072911884961332
2021-11-10,BBCA.JK,-0.09366209406299442
2021-11-10,TLKM.JK,-0.10508020297606047
2021-12-09,BBCA.JK,-0.06317444471505951
2021-12-09,TLKM.JK,-0.087359271609464
2022-01-10,BBCA.JK,-0.12734906944702162
2022-01-10,TLKM.JK,-0.14695571563612875
2022-02-09,BBCA.JK,-0.10879211399852462
2022-02-09,TLKM.JK,-0.14272850380656754
2022-03-14,BBCA.JK,-0.10669945229842304
2022-03-14,TLKM.JK,-0.16964758037518024
2022-04-12,BBCA.JK,-0.04426412369892452
2022-04-12,TLKM.JK,-0.10019661317803275
2022-05-23,BBCA.JK,0.0042845209382766924
2022-05-23,TLKM.JK,-0.06558990105209483
2022-06-23,BBCA.JK,-0.0207684054780346
2022-06-23,TLKM.JK,-0.008999143312753421
2022-07-22,BBCA.JK,0.002324523656178634
2022-07-22,TLKM.JK,-0.040715888472977024
2022-08-23,BBCA.JK,-0.014253458481038983
2022-08-23,TLKM.JK,-0.06374769553159876
2022-09-21,BBCA.JK,-0.039210213661976745
2022-09-21,TLKM.JK,-0.009496941710102291
2022-10-20,BBCA.JK,-0.03283370614473169
2022-10-20,TLKM.JK,0.028273381488422178
2022-11-18,BBCA.JK,-0.08779291427472202
2022-11-18,TLKM.JK,-0.012866158767978586
2022-12-19,BBCA.JK,-0.07248576642517435
2022-12-19,TLKM.JK,0.05720881017067114
2023-01-17,BBCA.JK,-0.058434809369082075
2023-01-17,TLKM.JK,0.0430259924148233
2023-02-16,BBCA.JK,-0.06433073953413393
2023-02-16,TLKM.JK,0.0991805342506642
2023-03-17,BBCA.JK,0.00618801685774395
2023-03-17,TLKM.JK,0.041822249353908436
2023-04-27,BBCA.JK,-0.054488828841432024
2023-04-27,TLKM.JK,-0.009367334883382483
2023-05-30,BBCA.JK,-0.032557633020392274
2023-05-30,TLKM.JK,-0.026840658939519813
2023-07-05,BBCA.JK,-0.035170423368036996
2023-07-05,TLKM.JK,-0.05663913335649218
2023-08-04,BBCA.JK,-0.06511698467690374
2023-08-04,TLKM.JK,0.006694397255925022
2023-09-05,BBCA.JK,-0.04107194962215788
2023-09-05,TLKM.JK,-0.017935656374960196
2023-10-05,BBCA.JK,-0.058878893231021134
2023-10-05,TLKM.JK,0.011449707295615674
2023-11-03,BBCA.JK,0.014968634124149283
2023-11-03,TLKM.JK,0.06523703618113608
2023-12-04,BBCA.JK,0.015100508580828453
2023-12-04,TLKM.JK,0.013520489048622242
