Date,Ticker_i,Ticker_j,Interaction_J
2021-01-04,BBCA.JK,TLKM.JK,1.2510935099365215
2021-02-02,BBCA.JK,TLKM.JK,1.2514663057558109
2021-03-04,BBCA.JK,TLKM.JK,1.2513198091265059
2021-04-06,BBCA.JK,TLKM.JK,1.250918998776555
2021-05-05,BBCA.JK,TLKM.JK,1.2508180672688476
2021-06-10,BBCA.JK,TLKM.JK,1.2507556171406509
2021-07-09,BBCA.JK,TLKM.JK,1.2503932229455639
2021-08-10,BBCA.JK,TLKM.JK,1.25035881089563
2021-09-10,BBCA.JK,TLKM.JK,1.250390530433399
2021-10-11,BBCA.JK,TLKM.JK,1.2503241021874811
2021-11-10,BBCA.JK,TLKM.JK,1.2503093167215256
2021-12-09,BBCA.JK,TLKM.JK,1.2504161945966634
2022-01-10,BBCA.JK,TLKM.JK,1.250216363775544
2022-02-09,BBCA.JK,TLKM.JK,1.250215183421881
2022-03-14,BBCA.JK,TLKM.JK,1.2501261615208652
2022-04-12,BBCA.JK,TLKM.JK,1.2501061211795745
2022-05-23,BBCA.JK,TLKM.JK,1.2504175288719592
2022-06-23,BBCA.JK,TLKM.JK,1.2504707195406097
2022-07-22,BBCA.JK,TLKM.JK,1.2504928571787801
2022-08-23,BBCA.JK,TLKM.JK,1.2504809945441362
2022-09-21,BBCA.JK,TLKM.JK,1.2507058810100267
2022-10-20,BBCA.JK,TLKM.JK,1.2506561575922959
2022-11-18,BBCA.JK,TLKM.JK,1.2503838584738391
2022-12-19,BBCA.JK,TLKM.JK,1.2503715590551558
2023-01-17,BBCA.JK,TLKM.JK,1.2503888446795615
2023-02-16,BBCA.JK,TLKM.JK,1.250324763346486
2023-03-17,BBCA.JK,TLKM.JK,1.2504429365248377
2023-04-27,BBCA.JK,TLKM.JK,1.2503626405532255
2023-05-30,BBCA.JK,TLKM.JK,1.2503354465584604
2023-07-05,BBCA.JK,TLKM.JK,1.2502070253537523
2023-08-04,BBCA.JK,TLKM.JK,1.2501790118543146
2023-09-05,BBCA.JK,TLKM.JK,1.2501426846536619
2023-10-05,BBCA.JK,TLKM.JK,1.2501401814553357
2023-11-03,BBCA.JK,TLKM.JK,1.2500654993337235
2023-12-04,BBCA.JK,TLKM.JK,1.2500750700558618
