Date,Depth,Energy,Iterations
2021-01-04,1,1.0638573085090322,125
2021-01-04,2,1.0789528627142713,2000
2021-02-02,1,1.1407359647219548,100
2021-02-02,2,1.141766873158717,450
2021-03-04,1,1.085073518783906,125
2021-03-04,2,1.1766451019210276,100
2021-04-06,1,0.9946385100272448,175
2021-04-06,2,1.143539167799749,100
2021-05-05,1,1.0340559067359245,175
2021-05-05,2,1.1259379768372941,100
2021-06-10,1,1.2032283161124913,100
2021-06-10,2,1.2034410261560122,425
2021-07-09,1,1.3358970625587,125
2021-07-09,2,1.356613326399183,100
2021-08-10,1,1.1957937840927118,150
2021-08-10,2,1.3220570981272757,100
2021-09-10,1,1.1831261472044636,150
2021-09-10,2,1.253164427373786,100
2021-10-11,1,1.0576062651249865,100
2021-10-11,2,1.0581429134827771,450
2021-11-10,1,1.0389490222963473,150
2021-11-10,2,1.0617570676683745,100
2021-12-09,1,1.0740525281542497,125
2021-12-09,2,1.1224133567844412,100
2022-01-10,1,0.9554635311721353,225
2022-01-10,2,0.9946644600165325,125
2022-02-09,1,0.9639341939084709,200
2022-02-09,2,1.0317708866409776,100
2022-03-14,1,0.910349750211144,250
2022-03-14,2,1.0362358548254473,100
2022-04-12,1,1.0493157408427016,150
2022-04-12,2,1.1611560497657158,100
2022-05-23,1,1.1175681805222373,125
2022-05-23,2,1.2572900637872404,100
2022-06-23,1,1.207114342954327,100
2022-06-23,2,1.2077800826787937,425
2022-07-22,1,1.1671011820451498,125
2022-07-22,2,1.253195357099762,100
2022-08-23,1,1.121062157234348,125
2022-08-23,2,1.220051324291047,100
2022-09-21,1,1.169591361628602,125
2022-09-21,2,1.1838238769475589,1200
2022-10-20,1,1.1825929188654964,125
2022-10-20,2,1.2019809514726063,2000
2022-11-18,1,1.0735059272669558,150
2022-11-18,2,1.0987604448805446,2000
2022-12-19,1,1.103972565497397,175
2022-12-19,2,1.104917533041458,1125
2023-01-17,1,1.132058201172876,175
2023-01-17,2,1.1331919467739706,1350
2023-02-16,1,1.1204044489981022,150
2023-02-16,2,1.1204332451471324,200
2023-03-17,1,1.261201226800748,125
2023-03-17,2,1.276503304023936,1825
2023-04-27,1,1.140114954793169,125
2023-04-27,2,1.1569498497450919,2000
2023-05-30,1,1.1839105090262063,100
2023-05-30,2,1.1843552077803172,425
2023-07-05,1,1.136101044223999,125
2023-07-05,2,1.1790671325317719,100
2023-08-04,1,1.1194682091661277,150
2023-08-04,2,1.143887416503055,2000
2023-09-05,1,1.1675324575425174,125
2023-09-05,2,1.179297757799684,1025
2023-10-05,1,1.1320583560798823,150
2023-10-05,2,1.156172646505109,2000
2023-11-03,1,1.2799435177111438,125
2023-11-03,2,1.2982033028292994,2000
2023-12-04,1,1.2768165346361617,125
2023-12-04,2,1.2799782799053991,100
