Depth,Theta_Index,Theta_Value
1,0,-1.5676719140352695
1,1,-5.370260190718705e-05
1,2,3.1414987389889886
1,3,-1.8808121961198432
1,4,0.0008653532340036195
1,5,-0.7979616170493092
1,6,1.5732046903301349
1,7,-0.324883780981298
2,0,-1.5902571816239197
2,1,0.03040246718104936
2,2,3.1702191446973966
2,3,-1.8650791467735717
2,4,0.018229014976644302
2,5,-0.79954844254415
2,6,1.5814659254003551
2,7,-0.2718773533371755
2,8,-0.0011304359786137336
2,9,-0.03315856635218488
2,10,-0.03619955450667549
2,11,0.033767491821298956
