Date,BBCA.JK,TLKM.JK
2020-06-02,4515.49609375,2381.02490234375
2020-06-03,4869.32177734375,2410.330322265625
2020-06-04,4877.74755859375,2417.656494140625
2020-06-05,4822.9892578125,2366.37255859375
2020-06-08,4970.416015625,2366.37255859375
2020-06-09,4890.38427734375,2300.4365234375
2020-06-10,4886.1708984375,2278.457763671875
2020-06-11,4785.07861328125,2256.479248046875
2020-06-12,4776.654296875,2219.847900390625
2020-06-15,4633.4384765625,2263.80517578125
2020-06-16,4852.47412109375,2344.3935546875
2020-06-17,4818.7763671875,2351.72021484375
2020-06-18,4705.04638671875,2403.00390625
2020-06-19,4696.62158203125,2403.00390625
2020-06-22,4667.13671875,2344.3935546875
2020-06-23,4734.5322265625,2293.110107421875
2020-06-24,4806.14013671875,2329.741455078125
2020-06-25,4822.9892578125,2315.0888671875
2020-06-26,4755.5927734375,2337.067626953125
2020-06-29,4780.86572265625,2329.741455078125
2020-06-30,4797.71435546875,2348.27197265625
2020-07-01,4886.1708984375,2340.57275390625
2020-07-02,4945.142578125,2417.5654296875
2020-07-03,4945.142578125,2402.166748046875
2020-07-06,4999.9013671875,2348.27197265625
2020-07-07,5046.23583984375,2402.166748046875
2020-07-08,5223.14892578125,2425.2646484375
2020-07-09,5138.9052734375,2394.467529296875
2020-07-10,5223.14892578125,2394.467529296875
2020-07-13,5202.087890625,2379.06884765625
2020-07-14,5223.14892578125,2371.369873046875
2020-07-15,5181.02734375,2379.06884765625
2020-07-16,5206.30029296875,2386.768310546875
2020-07-17,5155.75341796875,2355.971435546875
2020-07-20,5172.603515625,2355.971435546875
2020-07-21,5223.14892578125,2355.971435546875
2020-07-22,5206.30029296875,2363.670654296875
2020-07-23,5223.14892578125,2363.670654296875
2020-07-24,5138.9052734375,2325.17431640625
2020-07-27,5138.9052734375,2340.57275390625
2020-07-28,5210.51171875,2325.17431640625
2020-07-29,5168.39013671875,2309.776123046875
2020-07-30,5256.8466796875,2348.27197265625
2020-08-03,5164.17822265625,2248.181884765625
2020-08-04,5231.57373046875,2271.279541015625
2020-08-05,5227.361328125,2325.17431640625
2020-08-06,5273.69482421875,2325.17431640625
2020-08-07,5206.30029296875,2294.377197265625
2020-08-10,5155.75341796875,2286.677978515625
2020-08-11,5202.087890625,2255.881103515625
2020-08-12,5273.69482421875,2271.279541015625
2020-08-13,5307.39306640625,2317.47509765625
2020-08-14,5395.85009765625,2332.87353515625
2020-08-18,5357.9404296875,2348.27197265625
2020-08-19,5332.6669921875,2309.776123046875
2020-08-24,5320.02978515625,2309.776123046875
2020-08-25,5362.1513671875,2294.377197265625
2020-08-26,5341.0908203125,2325.17431640625
2020-08-27,5560.12646484375,2302.076904296875
2020-08-28,5471.669921875,2278.978759765625
2020-08-31,5286.33203125,2201.986328125
2020-09-01,5492.72998046875,2232.783203125
2020-09-02,5421.12255859375,2271.279541015625
2020-09-03,5475.8818359375,2232.783203125
2020-09-04,5374.7890625,2201.986328125
2020-09-07,5294.7568359375,2232.783203125
2020-09-08,5336.87890625,2201.986328125
2020-09-09,5261.05908203125,2155.790771484375
2020-09-10,4894.59619140625,2078.79833984375
2020-09-11,4974.6279296875,2163.489990234375
2020-09-14,5096.783203125,2225.083984375
2020-09-15,4936.7177734375,2178.888427734375
2020-09-16,4844.0498046875,2148.091552734375
2020-09-17,4848.26171875,2171.189208984375
2020-09-18,4742.9560546875,2225.083984375
2020-09-21,4721.89501953125,2163.489990234375
2020-09-22,4591.31689453125,2140.392333984375
2020-09-23,4637.65087890625,2155.790771484375
2020-09-24,4587.1044921875,2101.89599609375
2020-09-25,4726.10693359375,2071.098876953125
2020-09-28,4646.0751953125,2048.001220703125
2020-09-29,4637.65087890625,2024.903564453125
2020-09-30,4566.04345703125,1971.0087890625
2020-10-01,4692.4091796875,2117.29443359375
2020-10-02,4637.65087890625,2063.399658203125
2020-10-05,4650.2880859375,2040.3017578125
2020-10-06,4801.92724609375,2040.3017578125
2020-10-07,4848.26171875,2048.001220703125
2020-10-08,4869.32177734375,2078.79833984375
2020-10-09,4865.10986328125,2101.89599609375
2020-10-12,4932.505859375,2101.89599609375
2020-10-13,4932.505859375,2101.89599609375
2020-10-14,4970.416015625,2163.489990234375
2020-10-15,4873.53515625,2140.392333984375
2020-10-16,4852.47412109375,2117.29443359375
2020-10-19,4970.416015625,2086.49755859375
2020-10-20,4890.38427734375,2055.700439453125
2020-10-21,4869.32177734375,2063.399658203125
2020-10-22,4886.1708984375,2078.79833984375
2020-10-23,4860.89794921875,2024.903564453125
2020-10-26,4898.80810546875,2040.3017578125
2020-10-27,4877.74755859375,2017.2042236328125
2020-11-02,4903.0205078125,1971.0087890625
2020-11-03,4961.9921875,1986.4072265625
2020-11-04,4903.0205078125,1986.4072265625
2020-11-05,5181.02734375,2132.693115234375
2020-11-06,5307.39306640625,2178.888427734375
2020-11-09,5294.7568359375,2217.384765625
2020-11-10,5459.033203125,2201.986328125
2020-11-11,5509.57958984375,2371.369873046875
2020-11-12,5408.48583984375,2340.57275390625
2020-11-13,5383.2138671875,2302.076904296875
2020-11-16,5459.033203125,2363.670654296875
2020-11-17,5518.00439453125,2479.159423828125
2020-11-18,5534.85302734375,2448.3623046875
2020-11-19,5572.76318359375,2440.6630859375
2020-11-20,5560.12646484375,2479.159423828125
2020-11-23,5560.12646484375,2556.152099609375
2020-11-24,5530.64111328125,2579.24951171875
2020-11-25,5400.0625,2525.35498046875
2020-11-26,5459.033203125,2671.640625
2020-11-27,5379.00048828125,2663.94140625
2020-11-30,5227.361328125,2486.858642578125
2020-12-01,5387.42578125,2494.557861328125
2020-12-02,5433.759765625,2563.85107421875
2020-12-03,5442.1845703125,2540.753662109375
2020-12-04,5383.2138671875,2502.257080078125
2020-12-07,5492.72998046875,2563.85107421875
2020-12-08,5467.45703125,2540.753662109375
2020-12-10,5555.84423828125,2509.956298828125
2020-12-11,5691.04345703125,2525.35498046875
2020-12-14,5762.8681640625,2556.152099609375
2020-12-15,5737.51806640625,2656.2421875
2020-12-16,5872.71728515625,2779.430419921875
2020-12-17,5860.04248046875,2725.535400390625
2020-12-18,5745.96826171875,2702.437744140625
2020-12-21,5771.31787109375,2710.136962890625
2020-12-22,5674.14404296875,2586.948974609375
2020-12-23,5682.59326171875,2556.152099609375
2020-12-28,5729.06787109375,2640.843505859375
2020-12-29,5716.39404296875,2633.144287109375
2020-12-30,5720.6181640625,2548.452880859375
2021-01-04,5775.54296875,2687.0390625
2021-01-05,5991.01708984375,2671.640625
2021-01-06,5868.4921875,2594.648193359375
2021-01-07,5885.392578125,2610.046630859375
2021-01-08,5957.21728515625,2748.63330078125
2021-01-11,6206.49169921875,2771.731201171875
2021-01-12,6050.1669921875,2702.437744140625
2021-01-13,6016.3662109375,2679.33984375
2021-01-14,5931.8671875,2694.73828125
2021-01-15,5876.94287109375,2679.33984375
2021-01-18,6016.3662109375,2656.2421875
2021-01-19,5995.2421875,2625.445068359375
2021-01-20,5995.2421875,2671.640625
2021-01-21,5978.34130859375,2679.33984375
2021-01-22,5982.56689453125,2610.046630859375
2021-01-25,5944.5419921875,2594.648193359375
2021-01-26,5762.8681640625,2509.956298828125
2021-01-27,5737.51806640625,2602.347412109375
2021-01-28,5830.46728515625,2494.557861328125
2021-01-29,5712.16796875,2394.467529296875
2021-02-01,5762.8681640625,2486.858642578125
2021-02-02,5745.96826171875,2517.655517578125
2021-02-03,5767.09326171875,2494.557861328125
2021-02-04,5792.443359375,2533.054443359375
2021-02-05,5843.14306640625,2533.054443359375
2021-02-08,5847.3681640625,2525.35498046875
2021-02-09,5898.06689453125,2463.760498046875
2021-02-10,5847.3681640625,2456.0615234375
2021-02-11,5813.56787109375,2456.0615234375
2021-02-15,5745.96826171875,2479.159423828125
2021-02-16,5864.26708984375,2471.460205078125
2021-02-17,5830.46728515625,2425.2646484375
2021-02-18,5691.04345703125,2448.3623046875
2021-02-19,5767.09326171875,2471.460205078125
2021-02-22,5737.51806640625,2440.6630859375
2021-02-23,5767.09326171875,2671.640625
2021-02-24,5682.59326171875,2679.33984375
2021-02-25,5665.693359375,2687.0390625
2021-02-26,5669.91845703125,2687.0390625
2021-03-01,5952.9921875,2687.0390625
2021-03-02,5927.642578125,2663.94140625
2021-03-03,5914.966796875,2648.54296875
2021-03-04,5678.369140625,2586.948974609375
2021-03-05,5745.96826171875,2556.152099609375
